,,,,,,,,,,,,,,,,,,,,,,
"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
143,,,"University of Wales College, Newport",46,12%,16%,,45,100,145,,43,..,..,,20,10,30,,175,,143
144,,,The North-East Wales Institute of Higher Education,46,13%,17%,,55,110,165,,47,..,..,,10,10,25,,190,,144
145,,,"University of Wales, Registry",35,..,..,,10,10,25,,..,..,..,,0,0,5,,25,,145
146,,,Royal Welsh College of Music and Drama(#2),44,..,..,,10,25,35,,48,..,..,,5,5,10,,45,,146
147,,,Swansea Institute of Higher Education,47,7%,18%,,45,105,150,,41,..,..,,25,20,45,,200,,147
148,,,"University of Wales, Swansea",43,26%,16%,,195,520,715,,44,26%,21%,,65,50,115,,830,,148
149,,,"Trinity College, Carmarthen",42,27%,10%,,40,45,80,,..,..,..,,0,0,0,,85,,149
,,,,,,,,,,,,,,,,,,,,,,
150,,Total Scotland,,41,33%,13%,,4810,9520,14330,,42,33%,19%,,1290,985,2275,,16610,,150
151,,,The University of Aberdeen,39,43%,12%,,490,795,1285,,43,30%,23%,,140,90,230,,1515,,151
152,,,University of Abertay Dundee,43,18%,11%,,85,165,250,,40,..,..,,15,10,25,,275,,152
153,,,Bell College(#1),45,8%,11%,,70,105,175,,41,..,..,,10,5,15,,190,,153
154,,,The University of Dundee,40,36%,11%,,480,830,1310,,44,34%,27%,,115,85,200,,1510,,154
155,,,Edinburgh College of Art,46,16%,17%,,30,50,80,,41,30%,12%,,40,60,100,,185,,155
156,,,The University of Edinburgh,39,43%,13%,,880,1840,2720,,42,29%,17%,,185,120,305,,3025,,156
157,,,Glasgow Caledonian University,44,16%,13%,,320,410,730,,43,20%,14%,,85,25,110,,840,,157
158,,,Glasgow School of Art,48,10%,28%,,10,55,70,,40,28%,12%,,35,30,65,,135,,158
159,,,The University of Glasgow,40,38%,13%,,830,1540,2370,,42,33%,20%,,190,110,300,,2670,,159
160,,,Heriot-Watt University,41,34%,14%,,120,560,680,,40,46%,23%,,25,55,80,,760,,160
161,,,Napier University,45,16%,16%,,225,395,620,,46,15%,26%,,55,55,110,,730,,161
162,,,Northern College of Education(#5),..,..,..,,~,~,~,,..,..,..,,~,~,~,,~,,162
163,,,The University of Paisley,45,12%,14%,,170,290,460,,47,..,..,,20,10,30,,490,,163
164,,,"Queen Margaret University College, Edinburgh",45,10%,11%,,95,70,165,,44,..,..,,25,15,40,,210,,164
165,,,The Robert Gordon University,43,21%,13%,,205,300,505,,43,19%,15%,,55,35,90,,595,,165
166,,,The Royal Scottish Academy of Music and Drama,49,..,..,,5,20,30,,46,..,..,,20,30,45,,75,,166
167,,,The University of St Andrews,41,36%,14%,,165,550,720,,34,66%,10%,,155,155,310,,1030,,167
168,,,Scottish Agricultural College,42,26%,8%,,70,180,245,,..,..,..,,5,0,5,,250,,168
169,,,The University of Stirling,43,27%,19%,,200,360,560,,44,27%,22%,,55,30,85,,645,,169
170,,,The University of Strathclyde,41,34%,16%,,360,1000,1360,,45,31%,34%,,60,70,130,,1490,,170
171,,,UHI Millennium Institute(#1)(#6),..,..,..,,~,~,~,,..,..,..,,~,~,~,,~,,171
,,,,,,,,,,,,,,,,,,,,,,
172,,Total Great Britain,,41,31%,13%,,40220,76730,116950,,44,24%,21%,,12595,10445,23040,,139990,,172
,,,,,,,,,,,,,,,,,,,,,,
173,,Total Northern Ireland,,42,31%,16%,,1005,1945,2955,,40,34%,13%,,130,80,210,,3165,,173
174,,,The Queen's University of Belfast,41,36%,12%,,495,1020,1515,,39,33%,10%,,65,45,115,,1625,,174
175,,,St Mary's University College,46,17%,23%,,25,40,65,,..,..,..,,0,0,5,,70,,175
176,,,Stranmillis University College,47,17%,28%,,30,35,65,,..,..,..,,0,0,0,,65,,176
177,,,University of Ulster,43,27%,18%,,455,855,1310,,40,38%,14%,,65,30,95,,1400,,177
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,
.. represents a percentage calculated on a population of less than 50 or an average based on a population of 7 or less.,,,,,,,,,,,,,,,,,,,,,,
~ no data submitted,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,,,,
