Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
111,,,The School of Pharmacy,2367,0,0,1172,0,3539,,966,259,670,360,94,56,22,2427,,111
112,,,Sheffield Hallam University,35583,1463,1264,2174,2491,42975,,10776,5589,10018,2996,2011,467,943,32800,,112
113,,,The University of Sheffield,63715,1022,7254,23645,3212,98848,,14193,7491,5330,5240,5197,4764,2276,44491,,113
114,,,Southampton Institute,15689,18,232,61,0,16000,,5537,2654,4779,1335,294,110,2301,17010,,114
115,,,The University of Southampton,52051,245,38,24266,1261,77861,,15914,5742,9437,4411,3619,7402,2946,49471,,115
116,,,Staffordshire University,19989,456,317,714,946,22422,,8408,3971,5915,1629,1330,563,573,22389,,116
117,,,The University of Sunderland,17427,92,22,896,994,19431,,4970,2279,6645,2261,1215,180,2558,20108,,117
118,,,"The Surrey Institute of Art and Design, University College",4583,0,0,0,0,4583,,1478,1331,964,912,66,0,0,4751,,118
119,,,The University of Surrey,31412,0,0,7009,0,38421,,6295,3714,7806,3086,2558,867,6281,30607,,119
120,,,The University of Sussex,21892,0,0,8250,361,30503,,6660,3621,6392,2602,2152,762,1116,23305,,120
121,,,The University of Teesside,19217,296,208,689,562,20972,,4480,2188,5896,1891,567,105,2154,17281,,121
122,,,Thames Valley University,15767,395,225,337,107,16831,,8488,3478,5074,1026,35,0,1598,19699,,122
123,,,Trinity And All Saints College,3614,118,446,0,18,4196,,492,348,1093,434,759,0,1,3127,,123
124,,,Trinity College of Music,2042,0,0,61,0,2103,,489,193,830,314,0,0,0,1826,,124
125,,,University College London,99169,867,2291,68843,13509,184679,,31583,11176,18981,6723,2287,12583,5125,88458,,125
126,,,The University of Warwick,37395,104,676,12568,2308,53051,,11721,5528,7640,5712,7096,1265,7526,46488,,126
